,date_received,postcode,intent,label,colour,form,consumption_method,effects,major,minor,latitude,longitude
W064879,2025-05-13,SA13,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Paracetamol,,51.63321111111111,-3.670888888888888
W064861,2025-05-13,SE1,Coke,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.49874615384616,-0.0930384615384615
W064874,2025-05-13,PE18,Cocaine,Not Stated,"White, White",Powder,Not Stated,Not Stated,Cocaine,,52.58253333333334,-0.2419333333333333
000233057,2025-05-13,G29,Cocaine,Cocaine,White,Granules,Not Stated,Not Stated,Cocaine,Benzoylecgonine,,
W064677,2025-05-13,NP19,Cocaine,Cocaine Rayful white,White,Granules,Snort / Sniff,"Increased Energy, Increased Confidence, Enhanced Senses, Confusion, Agitation, Headache",Cocaine,"Benzoylecgonine, Levamisole",51.5888,-2.9638
W064668,2025-05-13,SE1,Coke,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.49874615384616,-0.0930384615384615
W064649,2025-05-13,CF44,Cocaine,Cocaine,White,Powder,Oral,"Increased Energy, Increased Confidence, Increased Strength, Insomnia",Cocaine,,51.7327125,-3.48293125
000233959,2025-05-13,CF83,Cocaine,Cocaine,White,Powder,Snort / Sniff,"Increased Energy, Increased Confidence, Nausea, Agitation","Cocaine, Levamisole, Procaine",,51.59288333333333,-3.2333833333333337
000230490,2025-05-13,NP20,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.5877,-2.9984
W064640,2025-05-13,G12,Cocaine,King stamp,White,Powder,Not Stated,Not Stated,Cocaine,,55.8804,-4.3007
W064591,2025-05-13,S2,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,Cocaine,,53.383,-1.4659
W064633,2025-05-13,WR13,Crack cocaine,Not Stated,,Powder,Smoked,Chest Pains,"Cocaine, Phenacetin",Benzoylecgonine,52.09508421052632,-2.3295421052631577
W064568,2025-05-13,KY58,Cocaine,Not Stated,White,Powder,Intravenous,"Psychosis, Vomiting, Nausea",Cocaine,,56.1493125,-3.285875
000236852,2025-05-13,CF62,Cocaine,Not Stated,White,Granules,Not Stated,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Nosebleeds, Depression, Suicidal Ideation",No Active Component Identified,,51.4027,-3.37145
W064601,2025-05-13,CM18,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Empathy, Irregular Heartbeat, Paranoia, Confusion, Panic Attack, Depression",Cocaine,,51.7766,0.1116
W064602,2025-05-13,CM18,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,"Cocaine, Lidocaine",Procaine,51.7766,0.1116
W064636,2025-05-13,SA1,Cocaine,Not Stated,White,Powder,Snort / Sniff,No Effect,Sertraline,,51.633979999999994,-3.94848
W064645,2025-05-13,CM18,Cocaine,Cocaine,"White, White",Powder,Not Stated,Not Stated,"Cocaine, Lidocaine",Procaine,51.7766,0.1116
W065077,2025-05-16,TN23,Cocaine,Cocaine,White,Powder,Not Stated,Not Stated,No Active Component Identified,,51.1301,0.8432
W063777,2025-05-16,52,Cocaine,Cocaine,White,Powder,Smoked,"Increased Energy, Increased Confidence, Chest Pains, Irregular Heartbeat","Cocaine, Phenacetin",,,
000233950,2025-05-16,CF83,Cocaine,cocaine,White,Powder,Not Stated,"Increased Energy, Increased Stamina, Increased Libido, Increased Strength, Chest Pains, Irregular Heartbeat, Vomiting",Cocaine,,51.59288333333333,-3.2333833333333337
W064976,2025-05-16,G12,Cocaine,Jaguar stamp,,Powder,Not Stated,Not Stated,Cocaine,,55.8804,-4.3007
W065119,2025-05-22,RG12,Cocaine,Not Stated,White,Powder,Snort / Sniff,"Euphoria, Increased Energy, Increased Confidence, Enhanced Senses, Increased Stamina, Empathy, Insomnia",Cocaine,Norcocaine,51.4007,-0.7635
W065175,2025-05-22,CF23,Cocaine,Not Stated,White,Powder,Not Stated,Not Stated,Cocaine,,51.5144,-3.1545
W065063,2025-05-22,CB22,Bolivian cocaine,Not Stated,White,Powder,Snort / Sniff,"Increased Energy, Enhanced Senses, Insomnia",Cocaine,,52.13283157894737,0.1341894736842105
W065179,2025-05-22,FK3,Cocaine,Not Stated,White,Powder,Smoked,"Increased Energy, Increased Confidence, Chest Pains, Irregular Heartbeat",Cocaine,,56.0114,-3.7218
000236981,2025-05-22,,Crack cocaine,Not Stated,Orange,Powder,Oral,"Nausea, Vomiting, Paranoia","Caffeine, Amphetamine",,0,0
